3,987,6,Flesh Eater
6,10913,7,Kobold Vermin
19,6074,7,Benny Questgiver
29,25275,7,Kanrethad
30,382,1,Forest Spider
31,145,0,Furbolg
36,367,9,Harvest Golem
38,4470,7,Two-Bit Thug
40,373,7,Kobold Miner
43,368,1,Mine Spider
46,441,7,Murloc Forager
48,200,6,Skeletal Warrior
49,159,3,Lesser Succubus
54,1287,7,Corina Steele
55,17,7,Mean Ed the Blacksmith
60,2153,7,Ruklar the Trapper
61,3341,7,Thuros Lightfingers
62,511,7,Gug Fatcandle
65,13,7,Peasant Woman
66,1298,7,Tharynn Bouden
67,23,7,[UNUSED] Marlon Darnik
68,3167,7,Stormwind City Guard
69,31048,1,Diseased Timber Wolf
70,13,7,[UNUSED] Lower Class Citizen
71,137,0,Rankist
72,10469,7,Level 20 Unkillable Test Dummy
73,15,7,Veraina the Apothecary
74,1289,7,Kurran Steele
75,166,7,[UNUSED] Vashaum Nightwither
78,3275,7,Janos Hammerknuckle
79,774,7,Narg the Taskmaster
80,365,7,Kobold Laborer
81,65271,7,Holiday - Halloween - Garrison - Spectral Alemental
82,16,7,Crazy Leonetti
87,167,7,Forest Troll Berserker
89,169,3,Infernal
90,791,5,Sea Giant
92,171,4,Rock Elemental
93,172,0,Centaur
94,33163,7,Cutpurse
95,4418,7,Defias Smuggler
97,10791,7,Riverpaw Runt
98,376,7,Riverpaw Taskmaster
99,3320,7,Morgaine the Sly
100,603,7,Gruff Swiftbite
102,177,0,Bronze Dragonspawn
103,2073,7,Garrick Padfoot
105,178,0,Tall Strider
106,179,1,Kodo Beast
107,180,1,Raptor
108,181,0,Green Dragonspawn
109,182,0,White Dragonspawn
111,20,7,Priest
112,14,7,Priestess
113,503,1,Stonetusk Boar
114,378,9,Harvest Watcher
115,379,9,Harvest Reaper
116,33161,7,Bandit
117,175,7,Riverpaw Gnoll
118,11415,1,Prowler
119,381,1,Longsnout
120,366,1,Forest Stalker
121,2336,7,Defias Pathstalker
122,2342,7,Defias Highwayman
123,383,7,Riverpaw Mongrel
124,384,7,Riverpaw Brute
125,10790,7,Riverpaw Overseer
126,983,7,Murloc Coastrunner
127,1995,7,Murloc Tidehunter
129,138,10,Angry Programmer Tweedle Dum
130,62,7,Programmer Vendor
149,387,2,[UNUSED] Small Black Dragon Whelp
150,190,7,[UNUSED] Brother Milius
151,1292,7,Brog Hamfist
152,3277,7,Brother Danil
153,14947,7,Bethina
154,1105,1,Greater Fleshripper
157,3027,1,Goretusk
161,18,7,[UNUSED] Ander the Monk
163,18,7,[UNUSED] Destitute Farmer
165,390,7,[UNUSED] Small Child
167,1844,7,Morhan Coppertongue
171,1305,7,Murloc Warrior
190,3276,7,Dermot Johns
192,195,7,Ice Troll
193,196,2,Blue Dragonspawn
196,3251,7,Eagan Peltskinner
197,1859,7,Marshal McBride
198,5001,7,Khelden Bremen
199,410,1,Young Fleshripper
200,158,6,Shambling Skeleton UNUSED
201,11400,6,Brittlebones Skeleton
202,1200,6,Rotting Horror
203,9783,6,Skeletal Mage
204,200,6,[UNUSED] Cackle Flamebone
205,33574,7,Nightbane Dark Runner
206,33575,7,Nightbane Vile Fang
207,376,7,[UNUSED] Riverpaw Hideflayer
208,383,7,[UNUSED] Riverpaw Pack Warder
209,413,7,[UNUSED] Riverpaw Bone Chanter
210,570,6,Bone Chewer
211,415,7,Ogre
212,1054,7,Splinter Fist Warrior
213,801,1,Starving Dire Wolf
215,4276,7,Defias Night Runner
217,955,1,Venom Web Spider
218,4275,7,Grave Robber
219,17,7,[UNUSED] Logan Mar
220,17,7,[UNUSED] Khebil Steelsmith
221,23,7,Dannus
222,1845,7,Nillen Andemar
223,10619,7,Dan Golthas
224,20,7,Zek Marston
225,4331,7,Gavin Gnarltree
226,4332,7,Morg Gnarltree
227,4340,7,Mabel Solaj
228,4334,7,Avette Fellwood
229,36452,7,Unknown Evil Transform (do not translate)
232,3614,7,Farmer Ray
233,1943,7,Farmer Saldean
234,23690,7,Marshal Gryan Stoutmantle
235,1691,7,Salma Saldean
237,1944,7,Farmer Furlbrow
238,1692,7,Verna Furlbrow
239,3265,7,Grimbooze Thunderbrew
240,1985,7,Marshal Dughan
241,3254,7,Remy "Two Times"
242,214,7,Horras Brackwell
243,163,7,[UNUSED] Greeby Mudwhisker TEST
244,3330,7,Ma Stonefield
246,3329,7,"Auntie" Bernice Stonefield
247,221,7,Billy Maclure
248,2959,7,Gramma Stonefield
250,3327,7,Pa Maclure
251,3323,7,Maybell Maclure
252,3331,7,Tommy Joe Stonefield
253,5038,7,William Pestle
255,3324,7,Gerard Tiller
257,2299,7,Kobold Workers
258,3328,7,Joshua Maclure
260,164,7,[UNUSED] Elwynn Tower Guard
261,1984,7,Guard Thomas
262,16422,7,[DND] Wounded Lion's Footman
263,4321,7,Lord Ello Ebonlocke
264,4322,7,Commander Althea Ebonlocke
265,4323,7,Madame Eva
266,1741,7,Wiley the Black
267,1720,7,Clerk Daltry
268,4324,7,Sirra Von'Indi
269,4309,7,Role Dreuger
270,1724,7,Councilman Millstipe
271,1713,7,Ambassador Berrybuck
272,1715,7,Chef Grual
273,1731,7,Tavernkeep Smitts
274,5039,7,Barkeep Hann
275,1734,7,Whit Wantmal
276,4326,7,Viktori Prism'Antras
277,1433,7,Roberto Pupellyverbos
278,3268,7,Sara Timberlain
279,5082,7,Morgan Pestle
280,68,3,Placeholder - Jasperlode Mine
281,139,7,Kobold Tank
282,139,7,Kobold Spellcaster
283,139,7,Kobold Healer
284,2404,1,Brown Horse
285,617,7,Murloc
286,346,7,Old Rotten Gill
287,68,3,Placeholder - Darkhollow Mine
288,4325,7,Jitters
289,4328,7,Abercrombie
290,68,3,Placeholder - Fargodeep Mine
291,31,3,Placeholder Chest of Drawers
294,1689,7,Marshal Haggard
295,1291,7,Innkeeper Farley
296,232,7,[UNUSED] Goodmother Jans
297,1756,7,Caretaker Folsom
298,2583,7,[UNUSED] Aunt Bethda
299,18156,1,Young Wolf
300,10170,7,Zzarc' Vul
301,33,7,[UNUSED] Brog'Mud
302,915,6,Blind Mary
303,38,1,Placeholder Interactive Doodad - jk
